FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
12 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 21.0,,,,
12 de abril de 2024,,AGENCIA X,Gasto Hotmart Fire no identificado,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 215.9,,,,
13 de abril de 2024,,AGENCIA X,Pago de curso Capcut,Suscripciones,Capcut,,,,,,-$ 12.0,,,,
13 de abril de 2024,,GERSSON L2,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 1,500.0 ",,,,
14 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 20.0,,,,
14 de abril de 2024,,GERSSON L2,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 1,000.0 ",,,,
15 de abril de 2024,,GERSSON L2,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
15 de abril de 2024,,GERSSON L2,Pago a Lorena Videos,Nómina,Lorena Videos,,,,,,,,,-$ 102.2,
16 de abril de 2024,,GERSSON L2,Pago de MailerLite,Suscripciones,MailerLite,,,,,,-$ 17.0,,,,
16 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
17 de abril de 2024,,HOTMART,Retiro de Hotmart,Retiros,Hotmart,,,,,"-$ 1,942.0 "," $ 1,942.0 ",,,,
17 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 1,000.0 ",,,,
18 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
19 de abril de 2024,,GERSSON L2,Pago de StreamYard,Suscripciones,StreamYard,,,,,,-$ 8.0,,,,
19 de abril de 2024,,GERSSON L2,Pago de MailerLite,Suscripciones,MailerLite,,,,,,-$ 18.0,,,,
19 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 1,000.0 ",,,,
20 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
21 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
22 de abril de 2024,,GERSSON L2,Pago de MailerLite,Suscripciones,MailerLite,,,,,,-$ 8.0,,,,
22 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 750.0,,,,
23 de abril de 2024,,GERSSON L2,Pago de Stape,Suscripciones,Stape,,,,,,-$ 11.0,,,,
23 de abril de 2024,,GERSSON L2,Pago de Devzapp,Software,Devzapp,,,,,,-$ 90.0,,,,
23 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 500.0,,,,
24 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 550.0,,,,
25 de abril de 2024,,AGENCIA X,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 15.2,,,,
25 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
26 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
28 de abril de 2024,,GERSSON L2,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 20.9,,,,
30 de abril de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 17.8,,,,
30 de abril de 2024,,GERSSON L2,Pago de StreamYard,Suscripciones,StreamYard,,,,,,-$ 49.0,,,,
2 de mayo de 2024,,GERSSON L2,Pago de ManyChat,Suscripciones,ManyChat,,,,,,-$ 15.0,,,,
2 de mayo de 2024,,GERSSON L2,Pago de ManyChat,Suscripciones,ManyChat,,,,,,-$ 25.0,,,,
2 de mayo de 2024,,GERSSON L2,Pago de StreamYard,Suscripciones,StreamYard,,,,,,-$ 47.0,,,,
2 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
3 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 970.0,,,,
4 de mayo de 2024,,GERSSON L2,Pago de Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
4 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 500.0,,,,
5 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
6 de mayo de 2024,,GERSSON L2,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 11.7,,,,
6 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
6 de mayo de 2024,,GERSSON L2,"Pago a Angelica, Lorena y Jorge",Pagos a Equipo,Pagos a Equipo,,,,,,,,,-$ 980.0,
