FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para publicidad en Facebook,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 22.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para publicidad en Facebook,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.0,,,,
18 de agosto de 2025,,GERSSON L8,Card charge (FACEBK *822GTXLTU2),GASTOS PUBLICITARIOS,GASTOS PUBLICITARIOS,,,,,,-$ 3.2,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 5.3,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 1.5,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.2,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 7.1,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 3.7,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.7,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.4,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 5.7,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 3.5,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.6,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
18 de agosto de 2025,,GERSSON L8,Carga de tarjeta para suscripción ChatGPT,Suscripciones,ChatGPT,,,,,,-$ 20.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 103.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 10.2,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 13.8,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 84.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 78.0,,,,
19 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 96.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 90.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 7.6,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 8.8,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 9.9,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 72.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 5.8,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 64.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 68.0,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 6.7,,,,
19 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.6,,,,
19 de agosto de 2025,,AGENCIA X,Carga de tarjeta para Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 13.1,,,,
19 de agosto de 2025,,AGENCIA X,Carga de tarjeta para uso de Cursor,Suscripciones,Cursor,,,,,,-$ 61.6,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 9.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 140.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 158.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 149.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 131.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 12.8,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 19.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 11.8,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 124.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 176.6,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 117.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 110.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 4.6,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 21.0,,,,
20 de agosto de 2025,,GERSSON L8,Card charge (FACEBK *QNQ9CYQSU2),GASTOS PUBLICITARIOS,GASTOS PUBLICITARIOS,,,,,,-$ 9.6,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 15.3,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
20 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 187.0,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 15.7,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 11.4,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 167.0,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 177.0,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
21 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 59.8,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 14.9,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
21 de agosto de 2025,,GERSSON L8,Carga de tarjeta para WP Media,Software,WP Rocket,,,,,,-$ 59.0,,,,
21 de agosto de 2025,,HOTMART,Pago recibido de Hotmart,Retiros,Hotmart,,,,,"-$ 2,965.6 "," $ 2,965.6 ",,,,
22 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 198.0,,,,
23 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 197.7,,,,
23 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
23 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
23 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
23 de agosto de 2025,,AGENCIA X,Carga de tarjeta para GreatApps,Software,GreatPages,,,,,,-$ 51.6,,,,
24 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
24 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 198.0,,,,
24 de agosto de 2025,,GERSSON L8,Carga de tarjeta para StreamYard,Suscripciones,StreamYard,,,,,,-$ 10.5,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
25 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
25 de agosto de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Card charge (MANYCHAT.COM),Sotware y suscripciones,Sotware y suscripciones,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Card charge (MANYCHAT.COM),Sotware y suscripciones,Sotware y suscripciones,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Card charge (MANYCHAT.COM),Sotware y suscripciones,Sotware y suscripciones,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
25 de agosto de 2025,,AGENCIA X,Cargo de suscripción de Cursor AI,Suscripciones,Cursor,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,INFOPRODUCTOS X,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
26 de agosto de 2025,,GERSSON L8,Cargo de software de Devzapp,Software,Devzapp,,,,,,-$ 37.8,,,,
27 de agosto de 2025,,INFOPRODUCTOS X,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
27 de agosto de 2025,,INFOPRODUCTOS X,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de suscripción recurrente de ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
27 de agosto de 2025,,GERSSON L8,Cargo de software de Devzapp,Software,Devzapp,,,,,,-$ 37.8,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
28 de agosto de 2025,,INFOPRODUCTOS X,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 900.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de publicidad en Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 28.9,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 20.0,,,,
28 de agosto de 2025,,AGENCIA X,Cargo de tarjeta Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 13.0,,,,
28 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 20.4,,,,
29 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Chatwoot,Software,Chatwoot,,,,,,-$ 19.0,,,,
29 de agosto de 2025,,GERSSON L8,Pago a Bancolombia,Gastos de la Agencia,Pago a Bancolombia,,,,,,"-$ 6,051.0 ",,,,
30 de agosto de 2025,,ADRIANA,Ventas de agosto,Ingresos por Proyecto,Hotmart,,$ 265.0,,,,,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
31 de agosto de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 166.2,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
31 de agosto de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
31 de agosto de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 20.0,,,,
31 de agosto de 2025,,GERSSON L8,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 108.1,,,,
31 de agosto de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Hotmart,Retiros,Hotmart,,,,," $ 3,105.0 ",,,,,
